order_id,order_date,total_amount,user_id,city,membership,restaurant_id,restaurant_name,cuisine,rating
1,18-02-2023,842.97,2508,Hyderabad,Regular,450,New Foods Chinese,Mexican,3.2
2,18-01-2023,546.68,2693,Pune,Regular,309,Ruchi Curry House Multicuisine,Indian,4.5
3,15-07-2023,163.93,2084,Chennai,Gold,107,Spice Kitchen Punjabi,Mexican,4.0
4,04-10-2023,1155.97,319,Bangalore,Gold,224,Darbar Kitchen Non-Veg,Chinese,4.8
5,25-12-2023,1321.91,1064,Pune,Regular,293,Royal Eatery South Indian,Italian,3.0
6,12-07-2023,1497.22,2933,Chennai,Regular,499,Annapurna Tiffins South Indian,Mexican,4.9
7,30-05-2023,129.21,970,Bangalore,Regular,35,Royal Biryani North Indian,Chinese,3.9
8,07-11-2023,269.19,891,Pune,Regular,57,Spice Mess Punjabi,Mexican,4.4
9,05-12-2023,953.3,364,Chennai,Gold,7,Ruchi Biryani Punjabi,Italian,3.2
10,30-12-2023,351.41,2972,Bangalore,Regular,183,Taste of Biryani Non-Veg,Chinese,3.7
11,10-12-2023,523.82,924,Chennai,Regular,235,Amma Delights Family Restaurant,Italian,4.5
12,27-10-2023,1484.65,884,Pune,Gold,423,Royal Tiffins Multicuisine,Indian,3.2
13,11-08-2023,216.59,1958,Chennai,Regular,244,Amma Tiffins South Indian,Italian,4.3
14,24-09-2023,898.24,364,Chennai,Gold,112,Grand Cafe Punjabi,Chinese,3.2
15,17-07-2023,1098.41,1733,Pune,Regular,383,Amma Biryani North Indian,Indian,3.1
16,17-07-2023,475.74,1321,Pune,Gold,149,Amma Restaurant South Indian,Mexican,3.6
17,09-04-2023,1002.51,1896,Pune,Regular,421,Ruchi Foods Chinese,Indian,3.0
18,23-04-2023,736.89,1617,Pune,Gold,414,Darbar Delights South Indian,Chinese,4.7
19,27-12-2023,392.59,330,Chennai,Regular,73,Spice Mess Andhra,Mexican,3.1
20,03-02-2023,362.01,2567,Bangalore,Gold,52,Udupi Curry House South Indian,Mexican,4.9
21,13-08-2023,743.68,1610,Pune,Regular,186,Darbar Restaurant North Indian,Indian,4.3
22,12-07-2023,507.82,688,Hyderabad,Gold,279,Sri Tiffins Andhra,Italian,4.9
23,14-06-2023,1025.36,2640,Bangalore,Gold,83,Darbar Mess Pure Veg,Chinese,3.5
24,22-01-2023,412.5,2403,Pune,Gold,434,Amma Kitchen Punjabi,Italian,4.7
25,07-06-2023,147.9,288,Pune,Regular,18,Annapurna Kitchen Family Restaurant,Italian,4.5
26,24-12-2023,933.31,2915,Chennai,Gold,129,New Cafe North Indian,Indian,4.1
27,08-08-2023,678.38,1056,Bangalore,Regular,399,Swagath Cafe Multicuisine,Chinese,3.2
28,23-03-2023,900.74,2370,Bangalore,Regular,63,Ruchi Foods South Indian,Italian,5.0
29,20-09-2023,903.0,2905,Pune,Gold,115,Annapurna Eatery Non-Veg,Chinese,3.3
30,23-04-2023,996.26,2009,Chennai,Gold,18,Annapurna Kitchen Family Restaurant,Italian,4.5
31,03-04-2023,199.16,1986,Bangalore,Regular,190,Amma Restaurant Pure Veg,Chinese,3.1
32,26-01-2023,741.1,1407,Pune,Gold,93,Swagath Cafe Multicuisine,Chinese,4.9
33,04-07-2023,957.07,1761,Bangalore,Gold,346,Amma Dhaba Non-Veg,Indian,4.5
34,15-06-2023,455.96,844,Chennai,Gold,350,Classic Curry House South Indian,Mexican,3.2
35,15-05-2023,121.81,2858,Hyderabad,Regular,291,Annapurna Foods Non-Veg,Mexican,4.3
36,12-09-2023,140.83,186,Chennai,Regular,113,Darbar Biryani Pure Veg,Chinese,5.0
37,01-02-2023,1198.64,952,Chennai,Gold,34,Ruchi Dhaba Multicuisine,Chinese,4.3
38,11-01-2023,751.82,2972,Bangalore,Regular,376,Amma Cafe Non-Veg,Indian,3.4
39,23-02-2023,596.06,118,Pune,Regular,170,Spice Tiffins Family Restaurant,Mexican,4.4
